Id,Label
2026,2
2027,1
2028,1
2029,0
2030,0
2031,0
2032,0
2033,1
2034,2
2035,0
2036,1
2037,0
2038,2
2039,1
2040,2
2041,1
2042,1
2043,2
2044,1
2045,0
2046,2
2047,1
2048,2
2049,1
2050,2
2051,1
2052,0
2053,2
2054,0
2055,1
2056,1
2057,2
2058,0
2059,2
2060,2
2061,2
2062,2
2063,0
2064,1
2065,2
2066,0
2067,2
2068,0
2069,2
2070,0
2071,0
2072,2
2073,0
2074,1
2075,0
2076,0
2077,0
2078,2
2079,2
2080,1
2081,2
2082,0
2083,2
2084,0
2085,1
2086,2
2087,1
2088,0
2089,2
2090,0
2091,1
2092,1
2093,1
2094,0
2095,1
2096,1
2097,0
2098,2
2099,2
2100,0
2101,1
2102,0
2103,2
2104,1
2105,0
2106,1
2107,2
2108,0
2109,2
2110,2
2111,2
2112,1
2113,1
2114,0
2115,1
2116,2
2117,0
2118,1
2119,2
2120,2
2121,0
2122,0
2123,0
2124,0
2125,0
2126,1
2127,2
2128,2
2129,2
2130,0
2131,0
2132,0
2133,2
2134,2
2135,2
2136,1
2137,2
2138,0
2139,0
2140,2
2141,0
2142,0
2143,1
2144,1
2145,2
2146,0
2147,0
2148,0
2149,2
2150,1
2151,2
2152,1
2153,1
2154,1
2155,1
2156,1
2157,2
2158,0
2159,1
2160,2
2161,0
2162,2
2163,1
2164,2
2165,0
2166,0
2167,1
2168,1
2169,2
2170,2
2171,0
2172,1
2173,0
2174,1
2175,0
2176,1
2177,0
2178,2
2179,2
2180,0
2181,2
2182,2
2183,1
2184,0
2185,0
2186,1
2187,1
2188,1
2189,1
2190,2
2191,1
2192,2
2193,2
2194,0
2195,0
2196,0
2197,2
2198,1
2199,1
2200,1
2201,1
2202,2
2203,1
2204,0
2205,2
2206,2
2207,0
2208,0
2209,0
2210,1
2211,0
2212,0
2213,1
2214,2
2215,2
2216,2
2217,0
2218,0
2219,2
2220,2
2221,1
2222,1
2223,2
2224,0
2225,0
2226,0
2227,1
2228,0
2229,1
2230,0
2231,2
2232,1
2233,1
2234,0
2235,2
2236,1
2237,0
2238,2
2239,1
2240,2
2241,2
2242,1
2243,2
2244,0
2245,0
2246,0
2247,1
2248,1
2249,2
2250,2
2251,0
2252,1
2253,2
2254,2
2255,0
2256,1
2257,1
2258,1
2259,1
2260,0
2261,2
2262,2
2263,0
2264,0
2265,0
2266,1
2267,0
2268,1
2269,1
2270,2
2271,0
2272,1
2273,1
2274,2
2275,0
2276,0
2277,0
2278,2
2279,2
2280,0
2281,2
2282,2
2283,0
2284,2
2285,0
2286,2
2287,2
2288,0
2289,0
2290,0
2291,2
2292,0
2293,2
2294,0
2295,1
2296,2
2297,2
2298,1
2299,2
2300,1
2301,0
2302,1
2303,1
2304,2
2305,0
2306,2
2307,1
2308,1
2309,1
2310,2
2311,2
2312,1
2313,1
2314,2
2315,0
2316,2
2317,0
2318,1
2319,2
2320,2
2321,1
2322,2
2323,2
2324,0
2325,1
2326,2
2327,0
2328,0
2329,2
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,2
2338,0
2339,2
2340,0
2341,2
2342,2
2343,2
2344,0
2345,2
2346,1
2347,2
2348,0
2349,1
2350,2
2351,0
2352,0
2353,2
2354,2
2355,2
2356,2
2357,1
2358,2
2359,0
2360,1
2361,2
2362,2
2363,1
2364,0
2365,1
2366,2
2367,2
2368,1
2369,1
2370,2
2371,0
2372,2
2373,0
2374,2
2375,0
2376,1
2377,2
2378,0
2379,2
2380,2
2381,2
2382,0
2383,0
2384,1
2385,2
2386,1
2387,0
2388,2
2389,0
2390,2
2391,2
2392,2
2393,1
2394,1
2395,0
2396,1
2397,0
2398,1
2399,2
2400,1
2401,2
2402,0
2403,1
2404,1
2405,0
2406,1
2407,1
2408,2
2409,0
2410,0
2411,0
2412,2
2413,1
2414,2
2415,2
2416,0
2417,1
2418,0
2419,2
2420,2
2421,2
2422,2
2423,2
2424,0
2425,2
2426,2
2427,2
2428,2
2429,0
2430,1
2431,0
2432,0
2433,0
2434,2
2435,2
2436,1
2437,2
2438,2
2439,0
2440,0
2441,0
2442,1
2443,0
2444,0
2445,0
2446,1
2447,2
2448,1
2449,0
2450,1
2451,2
2452,0
2453,2
2454,0
2455,0
2456,2
2457,0
2458,1
2459,2
2460,1
2461,1
2462,1
2463,2
2464,0
2465,0
2466,1
2467,1
2468,0
2469,2
2470,2
2471,2
2472,0
2473,2
2474,0
2475,2
2476,2
2477,0
2478,1
2479,1
2480,2
2481,0
2482,1
2483,1
2484,1
2485,1
2486,2
2487,0
2488,2
2489,0
2490,2
2491,2
2492,0
2493,2
2494,2
2495,0
2496,2
2497,0
2498,2
2499,1
